ticker,timestamp,date,time,div_type,direction,osc_value,entry,stop,risk,conf_bar,target,exit,exit_reason,pnl_pts,pnl_r
IWM,2023-07-17 12:10:00,2023-07-17,12:10,bear,short,102.07,193.87,194.07,0.2,51609,193.47,194.07,stop,-0.2,-1.0
SPY,2023-07-18 14:30:00,2023-07-18,14:30,bear,short,105.31,453.94,454.32,0.38,55554,453.18,454.32,stop,-0.38,-1.0
SPY,2023-07-27 15:50:00,2023-07-27,15:50,bull,long,-113.24,452.48,451.55,0.93,55842,454.34,452.88,eod,0.4,0.43
IWM,2023-07-27 15:50:00,2023-07-27,15:50,bull,long,-103.55,193.92,193.18,0.74,51951,195.4,194.0,eod,0.08,0.108
IWM,2023-08-22 10:10:00,2023-08-22,10:10,hidden_bull,long,-114.05,184.2,183.66,0.54,52637,185.28,183.66,stop,-0.54,-1.0
SPY,2023-08-29 12:30:00,2023-08-29,12:30,bear,short,124.36,448.01,448.44,0.44,56742,447.13,448.44,stop,-0.43,-0.977
IWM,2023-08-29 12:30:00,2023-08-29,12:30,bear,short,118.43,187.99,188.07,0.08,52851,187.83,188.07,stop,-0.08,-1.0
IWM,2023-08-29 13:40:00,2023-08-29,13:40,bear,short,106.02,188.34,188.36,0.02,52858,188.3,188.36,stop,-0.02,-1.0
SPY,2023-09-15 11:00:00,2023-09-15,11:00,bull,long,-128.32,444.72,444.53,0.19,57213,445.1,444.53,stop,-0.19,-1.0
SPY,2023-10-10 10:40:00,2023-10-10,10:40,bear,short,114.99,435.09,435.7,0.61,57891,433.87,435.7,stop,-0.61,-1.0
SPY,2023-10-12 10:00:00,2023-10-12,10:00,hidden_bull,long,-100.33,435.66,435.07,0.59,57967,436.84,436.84,target,1.18,2.0
IWM,2023-10-17 12:00:00,2023-10-17,12:00,bear,short,128.52,175.94,176.06,0.12,54208,175.7,176.06,stop,-0.12,-1.0
IWM,2023-11-14 11:30:00,2023-11-14,11:30,bear,short,142.07,177.61,177.88,0.27,55005,177.07,177.07,target,0.54,2.0
IWM,2023-12-01 13:00:00,2023-12-01,13:00,bear,short,131.73,184.42,184.71,0.28,55477,183.86,183.86,target,0.56,2.0
SPY,2023-12-07 10:40:00,2023-12-07,10:40,bear,short,114.26,457.77,458.14,0.38,59514,457.01,457.01,target,0.76,2.0
IWM,2023-12-21 09:30:00,2023-12-21,09:30,bull,long,-121.79,199.27,196.09,3.18,56016,205.63,199.65,eod,0.38,0.119
QQQ,2024-01-08 12:20:00,2024-01-08,12:20,bear,short,117.38,402.14,402.36,0.22,45386,401.7,402.36,stop,-0.22,-1.0
QQQ,2024-01-08 14:00:00,2024-01-08,14:00,bear,short,109.21,403.49,403.55,0.06,45396,403.37,403.55,stop,-0.06,-1.0
IWM,2024-02-12 10:50:00,2024-02-12,10:50,bear,short,106.54,202.3,202.47,0.17,57384,201.96,202.47,stop,-0.17,-1.0
IWM,2024-03-14 11:30:00,2024-03-14,11:30,bull,long,-100.3,202.16,201.73,0.43,58268,203.02,201.73,stop,-0.43,-1.0
QQQ,2024-03-27 10:10:00,2024-03-27,10:10,bull,long,-100.06,443.08,442.12,0.96,47573,445.0,445.0,target,1.92,2.0
SPY,2024-04-23 10:40:00,2024-04-23,10:40,bear,short,111.68,504.53,505.13,0.6,63234,503.33,505.13,stop,-0.6,-1.0
QQQ,2024-05-23 10:00:00,2024-05-23,10:00,hidden_bull,long,-105.87,458.0,457.07,0.93,49172,459.86,457.07,stop,-0.93,-1.0
SPY,2024-05-23 11:00:00,2024-05-23,11:00,bull,long,-100.87,530.53,529.01,1.52,64116,533.57,529.01,stop,-1.52,-1.0
IWM,2024-05-23 11:00:00,2024-05-23,11:00,bull,long,-115.94,205.38,204.48,0.9,60225,207.18,204.48,stop,-0.9,-1.0
QQQ,2024-05-31 11:40:00,2024-05-31,11:40,bull,long,-111.11,444.89,444.66,0.23,49382,445.35,444.66,stop,-0.23,-1.0
IWM,2024-06-03 10:10:00,2024-06-03,10:10,hidden_bull,long,-105.42,205.96,205.79,0.17,60460,206.3,205.79,stop,-0.17,-1.0
IWM,2024-06-03 12:30:00,2024-06-03,12:30,bull,long,-107.64,204.03,203.81,0.22,60474,204.47,203.81,stop,-0.22,-1.0
QQQ,2024-06-20 12:40:00,2024-06-20,12:40,bull,long,-109.09,482.26,480.9,1.36,49908,484.98,480.9,stop,-1.36,-1.0
SPY,2024-07-10 14:00:00,2024-07-10,14:00,bear,short,103.91,559.61,559.85,0.24,65357,559.13,559.85,stop,-0.24,-1.0
SPY,2024-07-12 13:50:00,2024-07-12,13:50,bear,short,121.46,563.05,563.65,0.6,65436,561.85,561.85,target,1.2,2.0
