ticker,timeframe_min,date,time,div_type,expected_dir,spo_value,entry_price,price_level,move_5b,move_5b_pct,mfe_5b,mae_5b,n_bars_5b,move_15b,move_15b_pct,mfe_15b,mae_15b,n_bars_15b,move_30b,move_30b_pct,mfe_30b,mae_30b,n_bars_30b,move_eod,move_eod_pct,mfe_eod,mae_eod,n_bars_eod
SPY,3,2025-07-31,14:00,bull,up,-107.32,633.66,633.065,-1.64,-0.2588,0.27,2.23,5,1.175,0.1854,1.465,2.23,15,-0.62,-0.0978,1.465,2.23,30,-1.58,-0.2493,1.465,2.895,40
SPY,3,2025-07-31,14:18,bull,up,-105.64,633.02,631.43,1.51,0.2385,1.74,0.02,5,1.56,0.2464,2.105,0.02,15,-0.84,-0.1327,2.105,0.86,30,-0.94,-0.1485,2.105,2.255,34
SPY,10,2025-07-31,14:20,bull,up,-108.11,634.21,631.43,-0.57,-0.0899,0.915,1.18,5,-2.57,-0.4052,0.915,3.445,10,-2.57,-0.4052,0.915,3.445,10,-2.57,-0.4052,0.915,3.445,10
SPY,3,2025-08-04,10:03,bear,down,153.57,629.075,629.34,-0.175,-0.0278,0.805,0.315,5,0.095,0.0151,0.805,0.625,15,-0.164,-0.0261,0.805,0.625,30,-1.965,-0.3124,7.355,2.285,119
SPY,3,2025-09-05,11:03,bull,up,-100.22,644.37,643.74,0.96,0.149,1.0099,1.04,5,1.4201,0.2204,2.53,1.04,15,1.06,0.1645,2.53,1.04,30,2.65,0.4113,3.04,1.04,99
SPY,5,2025-09-22,10:00,hidden_bear,down,103.04,663.475,663.565,-0.605,-0.0912,0.195,0.665,5,-1.3651,-0.2058,0.195,1.845,15,-2.55,-0.3843,0.195,2.555,30,-3.175,-0.4785,0.195,3.815,72
SPY,5,2025-09-22,12:40,bear,down,110.7,666.12,666.1899,-0.225,-0.0338,0.07,0.41,5,-0.235,-0.0353,0.07,0.66,15,-1.0,-0.1501,0.09,1.06,30,-0.53,-0.0796,0.09,1.17,40
SPY,10,2025-09-22,13:00,bear,down,122.04,666.345,666.5,-0.01,-0.0015,0.235,0.435,5,-0.655,-0.0983,0.315,0.9,15,0.095,0.0143,0.315,0.945,18,0.095,0.0143,0.315,0.945,18
SPY,5,2025-09-24,09:55,hidden_bull,up,-103.02,663.04,662.42,0.06,0.009,0.45,0.39,5,-0.615,-0.0928,0.615,0.64,15,-2.13,-0.3212,0.615,3.37,30,-1.49,-0.2247,0.615,3.37,73
SPY,3,2025-09-29,09:42,hidden_bull,up,-102.08,664.4106,663.77,0.1144,0.0172,0.3344,0.3206,5,0.3494,0.0526,0.8694,0.4206,15,-0.6306,-0.0949,0.8694,0.6906,30,-0.7406,-0.1115,0.8694,2.5506,126
