ticker,date,direction,n_comp,range_high,range_low,range_size,entry_price,stop,target,exit_price,exit_date,risk,pnl_per_share,r_multiple,result,exit_reason
IWM,2024-06-10,short,5,207.555,201.65,5.905,199.52,207.555,183.45,207.9,2024-07-11,8.035,-8.38,-1.0429,LOSS,maxhold
IWM,2024-09-18,long,2,218.285,213.94,4.345,219.23,213.94,229.81,225.63,2024-10-21,5.29,6.4,1.2098,WIN,maxhold
IWM,2024-11-07,long,3,224.29,217.8401,6.4499,236.89,217.8401,274.9898,240.55,2024-12-09,19.0499,3.66,0.1921,WIN,maxhold
IWM,2025-07-02,long,5,217.405,206.81,10.595,218.37,206.81,241.49,216.55,2025-08-04,11.56,-1.82,-0.1574,LOSS,maxhold
IWM,2025-08-14,long,5,222.84,218.235,4.605,228.44,218.235,248.85,239.23,2025-09-15,10.205,10.79,1.0573,WIN,maxhold
IWM,2026-01-12,long,3,258.93,251.52,7.41,259.28,251.52,274.8,267.02,2026-02-12,7.76,7.74,0.9974,WIN,maxhold
IWM,2026-03-09,short,5,266.235,253.31,12.925,247.59,266.235,210.3,258.78,2026-04-09,18.645,-11.19,-0.6002,LOSS,maxhold
JNJ,2018-07-13,long,4,127.52,123.23,4.29,125.32,123.23,129.5,129.5,2018-07-17,2.09,4.18,2.0,WIN,target
JNJ,2018-10-15,short,5,140.46,137.32,3.14,133.88,140.46,120.72,140.46,2018-10-30,6.58,-6.58,-1.0,LOSS,stop
JNJ,2018-11-08,long,4,142.74,139.61,3.13,144.31,139.61,153.71,145.39,2018-12-10,4.7,1.08,0.2298,WIN,maxhold
JNJ,2018-12-18,short,4,148.5899,130.2,18.3899,132.05,148.5899,98.9702,129.9,2019-01-18,16.5399,2.15,0.13,WIN,maxhold
JNJ,2019-03-04,long,1,137.9549,135.69,2.2649,138.85,135.69,145.17,136.87,2019-04-04,3.16,-1.98,-0.6266,LOSS,maxhold
JNJ,2019-05-02,long,1,141.45,138.9599,2.4901,141.91,138.9599,147.8102,138.9599,2019-05-09,2.9501,-2.9501,-1.0,LOSS,stop
JNJ,2019-07-16,short,5,142.47,139.02,3.45,132.93,142.47,113.85,131.47,2019-08-16,9.54,1.46,0.153,WIN,maxhold
JNJ,2019-11-21,long,3,135.69,130.78,4.91,135.94,130.78,146.26,146.26,2019-12-20,5.16,10.32,2.0,WIN,target
JNJ,2020-01-21,long,5,148.84,144.72,4.12,148.58,144.72,156.3,148.09,2020-02-21,3.86,-0.49,-0.1269,LOSS,maxhold
JNJ,2020-02-26,short,1,149.0,145.25,3.75,145.35,149.0,138.05,138.05,2020-02-28,3.65,7.3,2.0,WIN,target
JNJ,2020-05-19,long,5,150.48,144.257,6.223,150.1,144.257,161.786,144.257,2020-05-22,5.843,-5.843,-1.0,LOSS,stop
JNJ,2020-09-23,short,5,150.59,146.05,4.54,147.48,150.59,141.26,150.59,2020-10-09,3.11,-3.11,-1.0,LOSS,stop
JNJ,2021-01-04,long,1,156.38,154.6,1.78,157.24,154.6,162.52,162.52,2021-01-19,2.64,5.28,2.0,WIN,target
JNJ,2021-03-04,short,3,162.41,157.97,4.44,155.99,162.41,143.15,162.41,2021-03-24,6.42,-6.42,-1.0,LOSS,stop
JNJ,2021-03-30,long,2,165.1,160.64,4.46,165.02,160.64,173.78,160.64,2021-04-09,4.38,-4.38,-1.0,LOSS,stop
JNJ,2021-04-22,long,5,162.51,156.53,5.98,165.836,156.53,184.448,170.9,2021-05-24,9.306,5.064,0.5442,WIN,maxhold
JNJ,2021-06-08,short,5,171.005,165.11,5.895,165.28,171.005,153.83,169.37,2021-07-09,5.725,-4.09,-0.7144,LOSS,maxhold
JNJ,2022-01-21,short,5,173.69,167.15,6.54,166.19,173.69,151.19,163.575,2022-02-22,7.5,2.615,0.3487,WIN,maxhold
JNJ,2022-05-20,short,3,179.7,175.17,4.53,174.85,179.7,165.15,179.7,2022-05-23,4.85,-4.85,-1.0,LOSS,stop
JNJ,2022-10-27,long,4,172.08,164.33,7.75,172.35,164.33,188.39,176.75,2022-11-28,8.02,4.4,0.5486,WIN,maxhold
JNJ,2022-12-01,long,1,177.26,174.66,2.6,179.0,174.66,187.68,174.66,2022-12-19,4.34,-4.34,-1.0,LOSS,stop
JNJ,2023-01-13,short,5,180.93,175.175,5.755,173.19,180.93,157.71,161.33,2023-02-13,7.74,11.86,1.5323,WIN,maxhold
JNJ,2023-05-15,short,5,166.18,160.79,5.39,160.8,166.18,150.04,162.05,2023-06-15,5.38,-1.25,-0.2323,LOSS,maxhold
JNJ,2024-01-03,long,5,157.24,154.85,2.39,160.64,154.85,172.22,156.61,2024-02-05,5.79,-4.03,-0.696,LOSS,maxhold
